public_ip,mode,block_number,block_hash,tx_number,action_type,process_time,delay_time,tps
47.238.136.192,banknote,82,5f82f85397fffab4a14299b4ab0553c2d227e2b1047e14d01a70174ff44c1ec4,6630,BlkGenerator,7,0,137608.36658868857
47.238.136.192,banknote,82,5f82f85397fffab4a14299b4ab0553c2d227e2b1047e14d01a70174ff44c1ec4,6630,BlkAdder,0,0,0
47.238.136.192,banknote,83,b4f357420b6619333a4e87b9714f0f845f284c1f0819f74ce2c48cbb165c6fa4,9389,BlkGenerator,9,0,107135.20462824084
47.238.136.192,banknote,83,b4f357420b6619333a4e87b9714f0f845f284c1f0819f74ce2c48cbb165c6fa4,9389,BlkAdder,0,0,0
47.238.136.192,banknote,84,72aa3f92750f0bb51276faba54dbb7e21f27208255c0fdd69c4b84f10af26e77,8669,BlkGenerator,8,0,112120.19284673169
47.238.136.192,banknote,84,72aa3f92750f0bb51276faba54dbb7e21f27208255c0fdd69c4b84f10af26e77,8669,BlkAdder,0,0,0
47.238.136.192,banknote,85,694e29275a75f7dfd2c73c22b5114fa210943378a642fb80387dab1d52b42019,6000,BlkGenerator,6,0,155520.99533437012
47.238.136.192,banknote,85,694e29275a75f7dfd2c73c22b5114fa210943378a642fb80387dab1d52b42019,6000,BlkAdder,0,0,0
47.238.136.192,banknote,86,210c3fd66c4912b6ac6273b5c0b94290ebd843f46767a9e2c050141ebf0d8521,6310,BlkGenerator,6,0,151699.0291262136
47.238.136.192,banknote,86,210c3fd66c4912b6ac6273b5c0b94290ebd843f46767a9e2c050141ebf0d8521,6310,BlkAdder,0,0,0
47.238.136.192,banknote,87,98962287d8e1628b5f28faecbe984ee75d45d928545ade296d51bdc3f4be1330,6270,BlkGenerator,7,0,142531.3568985177
47.238.136.192,banknote,87,98962287d8e1628b5f28faecbe984ee75d45d928545ade296d51bdc3f4be1330,6270,BlkAdder,0,0,0
47.238.136.192,banknote,88,6b0509a7dbb74799f96f4efc7a971a6569235498f23d7c938dd34dbc415c856b,5549,BlkGenerator,6,0,155617.80267662622
47.238.136.192,banknote,88,6b0509a7dbb74799f96f4efc7a971a6569235498f23d7c938dd34dbc415c856b,5549,BlkAdder,0,0,0
47.238.136.192,banknote,89,126c98237f433189ecba40cd125857abc38247347a939565ddfab19e8239c398,4925,BlkGenerator,9,0,100715.07704703395
47.238.136.192,banknote,89,126c98237f433189ecba40cd125857abc38247347a939565ddfab19e8239c398,4925,BlkAdder,0,0,0
47.238.136.192,banknote,90,c326b09fd0bcf90e155f89d57150ce73d0743c033d863204dd0f4e0cd63365b4,7093,BlkGenerator,7,0,130463.1441617743
